"Account Infomation","賬戶信息"
"The current password is incorrect.","當前密碼錯誤。"
"The description has been updated successfully.","描述已更新成功。"
"The field email has been used.","此郵件已被使用。"
"The field username has been used.","此用戶名已被使用。"
"The product has been added to wishlist successfully.","產品已成功加入收藏夾。"
"The product has been removed from wishlist successfully.","產品已成功移出收藏夾。"
"The order details","訂單詳情"
"There is no product in wishlist.","收藏夾中沒有產品。"
"This account is not confirmed.","該賬戶未通過確認。"
"To","至"
"To be received","待收貨"
"Total %d item(s)","共%d件商品"
"Total visitors yesterday","昨日總訪客"
"Trading Hours","交易時間"
"Trading Status","交易狀態"
"Transaction Management","交易管理"
"Transaction Operation","交易操作"
"Update Image","修改圖片"
"Username/Email","用戶名/電子郵箱"
"Username","用戶名"
"User Registration Source","用戶註冊來源"
"View Details","查看詳情"
"View Orders","查看訂單"
"View Reviews","查看評價"
"Waybill Tracking","運單追蹤"
"We have received your application. The customer service will contact you as soon as possible. Thanks for your support.","我們已收到您的申請，客服人員會盡快與您聯系，感謝您的支持。"
"We use the key to encrypt/decrypt sso result.","使用該密鑰加密/解密單點登錄結果。"
"WeChat Login","微信登錄"
"Welcome Email Template","歡迎郵件模板"
"Welcome - Login","歡迎光臨 - 登錄"
"Welcome - Register","歡迎光臨 - 註冊"
"Wishlist Time","收藏時間"
"Yesterday sales amount","昨日銷售金額"
"You have logged out successfully.","您已成功註銷。"
"you have no browsing history!","您沒有瀏覽商品記錄！"
"You will receive an email with a temporary password.","您將會收到壹封包含臨時密碼的郵件。"
"Zip code","郵編"
"Username or Email","用戶名或郵箱"
"Please enter Username or Email","請輸入用戶名或郵箱"
"Please enter Password","請輸入密碼"
"Please enter Username","請輸入用戶名"
"Confirm password do not equal to password","確認密碼和密碼不一至"
"Please enter Email","請輸入郵箱"
"You must agree","你一定要同意"
"Choose image","選擇圖片"
"My referees","我的推薦人"
"Referrer","推薦人"
"Customer Login Log","顧客登陸日誌"
"Secrecy","保密"
"Please enter ","請輸入 "
"Please choose ","請選擇 "
"login successfully","登陸成功"
"login failure, useranme and password invaid","登陸失敗，用戶名和密碼不對"
