"ALL","全部"
"Admin\I18n\Store::delete","刪除店鋪"
"Admin\I18n\Store::edit","編輯店鋪"
"Admin\I18n\Store::save","保存店鋪"
"Admin\I18n\Translation::delete","刪除翻譯"
"Admin\I18n\Translation::edit","編輯翻譯"
"Admin\I18n\Translation::index","查看翻譯"
"Admin\I18n\Translation::save","保存翻譯"
"Admin\Indexer::index","查看索引"
"Admin\Indexer::rebuild","重建索引"
"Admin\Indexer::schedule","計劃重建索引"
"Admin\Livechat::close","關閉在線咨詢"
"Admin\Livechat::history","獲取歷史咨詢記錄"
"Admin\Livechat::index","進入在線咨詢"
"Admin\Livechat::prepare","準備在線咨詢"
"Admin\Livechat::preview","預覽咨詢網頁"
"Admin\Message\Template::delete","刪除短信模板"
"Admin\Message\Template::edit","編輯短信模板"
"Admin\Message\Template::index","查看短信模板"
"Admin\Message\Template::save","保存短信模板"
"Admin\Operation::delete","刪除權限控制操作"
"Admin\Operation::edit","編輯權限控制操作"
"Admin\Operation::index","查看權限控制操作"
"Admin\Operation::save","保存權限控制操作"
"Admin\Promotion::delete","刪除促銷規則"
"Admin\Promotion::deleteCoupon","刪除優惠券"
"Admin\Promotion::disable","禁用促銷規則"
"Admin\Promotion::edit","編輯促銷規則"
"Admin\Promotion::enable","啟用促銷規則"
"Admin\Promotion::generateCoupon","生成優惠券"
"Admin\Promotion::index","查看促銷規則"
"Admin\Promotion::save","保存促銷規則"
"Admin\Resource\Category::delete","刪除資源分類"
"Admin\Resource\Category::edit","編輯資源分類"
"Admin\Resource\Category::index","查看資源分類"
"Admin\Resource\Category::save","保存資源分類"
"Admin\Resource\Resource::delete","刪除資源"
"Admin\Resource\Resource::index","查看資源"
"Admin\Resource\Resource::move","移動資源"
"Admin\Resource\Resource::nav","資源導航"
"Admin\Resource\Resource::rename","重命名資源"
"Admin\Resource\Resource::upload","上傳資源"
"Admin\Retailer\Apply::edit","編輯開店申請"
"Admin\Retailer\Apply::index","查看開店申請"
"Admin\Retailer\Apply::save","保存開店申請"
"Admin\Role::delete","刪除權限控制角色"
"Admin\Role::edit","編輯權限控制角色"
"Admin\Role::index","查看權限控制角色"
"Admin\Role::save","保存權限控制角色"
"Admin\Sales\Cart::index","查看廢棄購物車"
"Admin\Sales\Cart::view","顯示廢棄購物車"
"Admin\Sales\Creditmemo::delete","刪除貸項通知單"
"Admin\Sales\Creditmemo::index","查看貸項通知單"
"Admin\Sales\Creditmemo::print","打印貸項通知單"
"Admin\Sales\Creditmemo::save","保存貸項通知單"
"Admin\Sales\Creditmemo::view","顯示貸項通知單"
"Admin\Sales\Invoice::edit","編輯賬單"
"Admin\Sales\Invoice::index","查看賬單"
"Admin\Sales\Invoice::print","打印賬單"
"Admin\Sales\Invoice::save","保存賬單"
"Admin\Sales\Invoice::view","顯示賬單"
"Admin\Sales\Order::amount","獲取訂單數量報表"
"Admin\Sales\Order::cancel","取消訂單"
"Admin\Sales\Order::chart","獲取訂單報表"
"Admin\Sales\Order::hold","掛起訂單"
"Admin\Sales\Order::index","查看訂單列表"
"Admin\Sales\Order::invoice","創建賬單"
"Admin\Sales\Order::print","打印訂單"
"Admin\Sales\Order::refund","創建貸項通知單"
"Admin\Sales\Order::saveAddress","保存訂單地址"
"Admin\Sales\Order::saveDiscount","保存訂單折扣"
"Admin\Sales\Order::ship","發貨"
"Admin\Sales\Order::status","修改訂單狀態"
"Admin\Sales\Order::unhold","取消掛起"
"Admin\Sales\Order::view","查看訂單詳情"
"Admin\Sales\Refund::addComment","添加退換貨申請備註"
"Admin\Sales\Refund::approve","批準退換貨"
"Admin\Sales\Refund::deliver","退換貨發貨"
"Admin\Sales\Refund::index","查看退換貨申請列表"
"Admin\Sales\Refund::refuse","拒絕退換貨"
"Admin\Sales\Refund::stat","獲取退換貨統計信息"
"Admin\Sales\Refund::view","顯示退換貨申請詳情"
"Admin\Sales\Shipment::delete","刪除運單"
"Admin\Sales\Shipment::edit","編輯運單"
"Admin\Sales\Shipment::index","查看運單列表"
"Admin\Sales\Shipment::print","打印運單"
"Admin\Sales\Shipment::save","保存運單"
"Admin\Sales\Shipment::track","運單追蹤"
"Admin\Sales\Shipment::view","顯示運單詳情"
"Admin\Sales\Status::delete","刪除訂單狀態"
"Admin\Sales\Status::edit","編輯訂單狀態"
"Admin\Sales\Status::index","查看訂單狀態"
"Admin\Sales\Status::save","保存訂單狀態"
"Admin\User::delete","刪除用戶"
"Admin\User::edit","編輯用戶"
"Admin\User::index","查看當前用戶"
"Admin\User::list","查看用戶列表"
"Admin\User::logout","註銷用戶"
"Admin\User::save","保存用戶"
"Api\User::delete","刪除API用戶"
"Api\User::edit","編輯API用戶"
"Api\User::index","查看API用戶"
"Api\User::list","查看API用戶列表"
"Api\User::logout","註銷API用戶"
"Api\User::save","保存API用戶"
