"Add New Translation","添加翻譯語句"
"Bangladesh Standard Time (Asia/Thimphu)","孟加拉國標準時間 (亞洲/廷布)"
"Canada Central Standard Time (America/Regina)","加拿大中部標準時間 (美洲/裏賈納)"
"Canada Central Standard Time (America/Swift_Current)","加拿大中部標準時間 (美洲/斯威夫特卡倫特)"
"Cape Verde Standard Time (Atlantic/Cape_Verde)","佛得角標準時間 (大西洋/佛得角)"
"Cape Verde Standard Time (Etc/GMT+1)","佛得角標準時間 (ETC/GMT+1)"
"Caucasus Standard Time (Asia/Yerevan)","高加索標準時間 (亞洲/埃裏溫)"
"Cen. Australia Standard Time (Australia/Adelaide)","澳大利亞中部標準時間 (澳大利亞/阿德萊德)"
"Cen. Australia Standard Time (Australia/Broken_Hill)","澳大利亞中部標準時間 (澳大利亞/布羅肯希爾)"，
"Central America Standard Time (America/Belize)","中美洲標準時間 (美洲/伯利茲)"
"Central America Standard Time (America/Costa_Rica)","中美洲標準時間 (美洲/哥斯達黎加)"
"Central America Standard Time (America/El_Salvador)","中美洲標準時間 (美洲/薩爾瓦多)"
"Central America Standard Time (America/Guatemala)","中美洲標準時間 (美洲/危地馬拉)"
"Central America Standard Time (America/Managua)","中美洲標準時間 (美洲/馬那瓜)"
"Central America Standard Time (America/Tegucigalpa)","中美洲標準時間 (美洲/特古西加爾巴)"
"Central America Standard Time (Etc/GMT+6)","中美洲標準時間 (ETC/GMT+6)"
"Central America Standard Time (Pacific/Galapagos)","中美洲標準時間 (太平洋/加拉帕戈斯)"
"Central Asia Standard Time (Antarctica/Vostok)","中亞標準時間 (南極洲/東方站)"
"Central Asia Standard Time (Asia/Almaty)","中亞標準時間 (亞洲/阿拉木圖)"
"Central Asia Standard Time (Asia/Bishkek)","中亞標準時間 (亞洲/比什凱克)"
"Central Asia Standard Time (Asia/Qyzylorda)","中亞標準時間 (亞洲/克孜勒奧爾達)"
"Central Asia Standard Time (Etc/GMT-6)","中亞標準時間 (ETC/GMT-6)"
"Central Asia Standard Time (Indian/Chagos)","中亞標準時間 (印度/查戈斯)"
"Central Brazilian Standard Time (America/Campo_Grande)","巴西中部標準時間 (美洲/大坎普)"
"Central Brazilian Standard Time (America/Cuiaba)","巴西中部標準時間 (美洲/庫亞巴)"
"Central Europe Standard Time (Europe/Belgrade)","中歐標準時間 (歐洲/貝爾格萊德)"
"Central Europe Standard Time (Europe/Bratislava)","中歐標準時間 (歐洲/布拉迪斯拉發)"
"Central Europe Standard Time (Europe/Budapest)","中歐標準時間 (歐洲/布達佩斯)"
"Central Europe Standard Time (Europe/Ljubljana)","中歐標準時間 (歐洲/盧布爾雅那)"
"Central Europe Standard Time (Europe/Podgorica)","中歐標準時間 (歐洲/波德戈裏察)"
"Central Europe Standard Time (Europe/Prague)","中歐標準時間 (歐洲/布拉格)"
"Central Europe Standard Time (Europe/Tirane)","中歐標準時間 (歐洲/地拉那)"
"Central European Standard Time (Europe/Sarajevo)","中歐標準時間 (歐洲/薩拉熱窩)"
"Central European Standard Time (Europe/Skopje)","中歐標準時間 (歐洲/斯科普裏)"
"Central European Standard Time (Europe/Warsaw)","中歐標準時間 (歐洲/華沙)"
"Central European Standard Time (Europe/Zagreb)","中歐標準時間 (歐洲/薩格勒布)"
"Central Pacific Standard Time (Antarctica/Macquarie)","環太平洋標準時間 (南極洲/麥格理)"
"Central Pacific Standard Time (Etc/GMT-11)","環太平洋標準時間 (ETC/GMT-11)"
"Central Pacific Standard Time (Pacific/Efate)","環太平洋標準時間 (太平洋/埃法特島)"
"Central Pacific Standard Time (Pacific/Guadalcanal)","環太平洋標準時間 (太平洋/瓜達爾卡納爾島)"
"Central Pacific Standard Time (Pacific/Kosrae)","環太平洋標準時間 (太平洋/科斯雷)"
"Central Pacific Standard Time (Pacific/Noumea)","環太平洋標準時間 (太平洋/努美阿)"
"Central Pacific Standard Time (Pacific/Ponape)","環太平洋標準時間 (太平洋/波納佩島)"
"Central Standard Time (America/Chicago)","中部標準時間 (美洲/芝加哥)"
"Central Standard Time (America/Indiana/Knox)","中部標準時間 (美洲/印第安納州/諾克斯)"
"Central Standard Time (America/Indiana/Tell_City)","中部標準時間 (美洲/印第安納州/特爾城)"
"Central Standard Time (America/Matamoros)","中部標準時間 (美洲/馬塔莫羅斯)"
"Central Standard Time (America/Menominee)","中部標準時間 (美洲/梅諾米尼)"
"Central Standard Time (America/North_Dakota/Beulah)","中部標準時間 (美洲/北達科他/比烏拉)"
"Central Standard Time (America/North_Dakota/Center)","中部標準時間 (美洲/北達科他/中心)"
"Central Standard Time (America/North_Dakota/New_Salem)","中部標準時間 (美洲/北達科他/新塞勒姆)"
"Central Standard Time (America/Rainy_River)","中部標準時間 (美洲/雷尼裏弗)"
"Central Standard Time (America/Rankin_Inlet)","中部標準時間 (美洲/蘭金因萊特)"
"Central Standard Time (America/Resolute)","中部標準時間 (美洲/堅決)"
"Central Standard Time (America/Winnipeg)","中部標準時間 (美洲/溫尼伯)"
"Central Standard Time (CST6CDT)","中部標準時間 (CST6CDT)"
"Central Standard Time (Mexico) (America/Bahia_Banderas)","中部標準時間 (墨西哥) (美洲/巴伊亞班德拉斯)"
"Central Standard Time (Mexico) (America/Cancun)","中部標準時間 (墨西哥) (美洲/坎昆)"
"Central Standard Time (Mexico) (America/Merida)","中部標準時間 (墨西哥) (美洲/梅裏達)"
"Central Standard Time (Mexico) (America/Mexico_City)","中部標準時間 (墨西哥) (美洲/墨西哥城)"
"Central Standard Time (Mexico) (America/Monterrey)","中部標準時間 (墨西哥) (美洲/蒙特雷)"
"China Standard Time (Asia/Chongqing)","中國標準時間 (亞洲/重慶)"
"China Standard Time (Asia/Harbin)","中國標準時間 (亞洲/哈爾濱)"
"China Standard Time (Asia/Hong_Kong)","中國標準時間 (亞洲/香港)"
"China Standard Time (Asia/Kashgar)","中國標準時間 (亞洲/喀什)"
"China Standard Time (Asia/Macau)","中國標準時間 (亞洲/澳門)"
"China Standard Time (Asia/Shanghai)","中國標準時間 (亞洲/上海)"
"China Standard Time (Asia/Urumqi)","中國標準時間 (亞洲/烏魯木齊)"
"Dateline Standard Time (Etc/GMT+12)","日界線標準時間 (ETC/GMT+12)"，
"E. Africa Standard Time (Africa/Addis_Ababa)","東非標準時間 (非洲/亞的斯亞貝巴)"
"E. Africa Standard Time (Africa/Asmera)","東非標準時間 (非洲/阿斯馬拉)"
"E. Africa Standard Time (Africa/Dar_es_Salaam)","東非標準時間 (非洲/達累斯薩拉姆)"
"E. Africa Standard Time (Africa/Djibouti)","東非標準時間 (非洲/吉布提)"
"E. Africa Standard Time (Africa/Juba)","東非標準時間 (非洲/朱巴)"
"E. Africa Standard Time (Africa/Kampala)","東非標準時間 (非洲/坎帕拉)"
"E. Africa Standard Time (Africa/Khartoum)","東非標準時間 (非洲/喀土穆)"
"E. Africa Standard Time (Africa/Mogadishu)","東非標準時間 (非洲/摩加迪沙)"
"E. Africa Standard Time (Africa/Nairobi)","東非標準時間 (非洲/內羅畢)"
"E. Africa Standard Time (Antarctica/Syowa)","東非標準時間 (南極洲/昭和)"
"E. Africa Standard Time (Etc/GMT-3)","東非標準時間 (ETC/GMT-3)"
"E. Africa Standard Time (Indian/Antananarivo)","東非標準時間 (印度/塔那那利佛)"
"E. Africa Standard Time (Indian/Comoro)","東非標準時間 (印度/科摩羅)"
"E. Africa Standard Time (Indian/Mayotte)","東非標準時間 (印度/馬約特島)"
"E. Australia Standard Time (Australia/Brisbane)","澳大利亞東部標準時間 (澳大利亞/布裏斯班)"
"E. Australia Standard Time (Australia/Lindeman)","澳大利亞東部標準時間 (澳大利亞/林德曼)"
"E. South America Standard Time (America/Sao_Paulo)","南美洲東部標準時間 (美洲/聖保羅)"，
"Eastern Standard Time (America/Detroit)","東部標準時間 (美洲/底特律)"
"Eastern Standard Time (America/Grand_Turk)","東部標準時間 (美洲/大特克)"
"Eastern Standard Time (America/Havana)","東部標準時間 (美洲/哈瓦那)"，
"Eastern Standard Time (America/Indiana/Petersburg)","東部標準時間 (美洲/印第安納州/聖彼得堡)"
"Eastern Standard Time (America/Indiana/Vincennes)","東部標準時間 (美洲/印第安納州/文森斯)"
"Eastern Standard Time (America/Indiana/Winamac)","東部標準時間 (美洲/印第安納州/威納馬克)"
"Eastern Standard Time (America/Iqaluit)","東部標準時間 (美洲/伊魁特)"
"Eastern Standard Time (America/Kentucky/Monticello)","東部標準時間 (美洲/肯塔基州/蒙蒂塞洛)"
"Eastern Standard Time (America/Louisville)","東部標準時間 (美洲/路易斯維爾)"
"Eastern Standard Time (America/Montreal)","東部標準時間 (美洲/蒙特利爾)"
"Eastern Standard Time (America/Nassau)","東部標準時間 (美洲/拿騷)"
"Eastern Standard Time (America/New_York)","東部標準時間 (美洲/紐約)"，
"Eastern Standard Time (America/Nipigon)","東部標準時間 (美洲/尼皮貢)"
"Eastern Standard Time (America/Pangnirtung)","東部標準時間 (美洲/龐納唐)"
"Eastern Standard Time (America/Port-au-Prince)","東部標準時間 (美洲/太子港)"
"Eastern Standard Time (America/Thunder_Bay)","東部標準時間 (美洲/桑德貝)"
"Eastern Standard Time (America/Toronto)","東部標準時間 (美洲/多倫多)"
"Eastern Standard Time (EST5EDT)","東部標準時間 (EST5EDT)"
"Egypt Standard Time (Africa/Cairo)","埃及標準時間 (非洲/開羅)"
"Ekaterinburg Standard Time (Asia/Yekaterinburg)","葉卡捷琳堡標準時間 (亞洲/葉卡捷琳堡)"
"FLE Standard Time (Europe/Helsinki)","FLE標準時間 (歐洲/赫爾辛基)"
"FLE Standard Time (Europe/Kiev)","FLE標準時間 (歐洲/基輔)"
"FLE Standard Time (Europe/Mariehamn)","FLE標準時間 (歐洲/瑪麗港)"
"FLE Standard Time (Europe/Riga)","FLE標準時間 (歐洲/裏加)"
"FLE Standard Time (Europe/Simferopol)","FLE標準時間 (歐洲/辛菲羅波爾)"
"FLE Standard Time (Europe/Sofia)","FLE標準時間 (歐洲/索非亞)"
"FLE Standard Time (Europe/Tallinn)","FLE標準時間 (歐洲/塔林)"
"FLE Standard Time (Europe/Uzhgorod)","FLE標準時間 (歐洲/烏日哥羅德)"
"FLE Standard Time (Europe/Vilnius)","FLE標準時間 (歐洲/維爾紐斯)"
"FLE Standard Time (Europe/Zaporozhye)","FLE標準時間 (歐洲/紮波羅熱)"
"Fiji Standard Time (Pacific/Fiji)","斐濟標準時間 (太平洋/斐濟)"
"GMT Standard Time (Atlantic/Canary)","GMT標準時間 (大西洋/加那利)"
"GMT Standard Time (Atlantic/Faeroe)","GMT標準時間 (大西洋/法羅)"
"GMT Standard Time (Atlantic/Madeira)","GMT標準時間 (大西洋/馬德拉島)"
"GMT Standard Time (Europe/Dublin)","GMT標準時間 (歐洲/都柏林)"
"GMT Standard Time (Europe/Guernsey)","GMT標準時間 (歐洲/根西島)"
"GMT Standard Time (Europe/Isle_of_Man)","GMT標準時間 (歐洲/馬恩島)"
"GMT Standard Time (Europe/Jersey)","GMT標準時間 (歐洲/澤西島)"
"GMT Standard Time (Europe/Lisbon)","GMT標準時間 (歐洲/裏斯本)"
"GMT Standard Time (Europe/London)","GMT標準時間 (歐洲/倫敦)"
"GTB Standard Time (Asia/Nicosia)","GTB標準時間 (亞洲/尼科西亞)"
"GTB Standard Time (Europe/Athens)","GTB標準時間 (歐洲/雅典)"
"GTB Standard Time (Europe/Bucharest)","GTB標準時間 (歐洲/布加勒斯特)"
"GTB Standard Time (Europe/Chisinau)","GTB標準時間 (歐洲/基希訥烏)"
"Georgian Standard Time (Asia/Tbilisi)","格魯吉亞標準時間 (亞洲/第比利斯)"
"Greenland Standard Time (America/Godthab)","格陵蘭標準時間 (美洲/戈特霍布)"
"Greenwich Standard Time (Africa/Abidjan)","格林尼治標準​​時間 (非洲/阿比讓)"
"Greenwich Standard Time (Africa/Accra)","格林尼治標準​​時間 (非洲/阿克拉)"
"Greenwich Standard Time (Africa/Bamako)","格林尼治標準​​時間 (非洲/巴馬科)"
"Greenwich Standard Time (Africa/Banjul)","格林尼治標準​​時間 (非洲/班珠爾)"
"Greenwich Standard Time (Africa/Bissau)","格林尼治標準​​時間 (非洲/比紹)"
"Greenwich Standard Time (Africa/Conakry)","格林尼治標準​​時間 (非洲/科納克裏)"
"Greenwich Standard Time (Africa/Dakar)","格林尼治標準​​時間 (非洲/達喀爾)"
"Greenwich Standard Time (Africa/Freetown)","格林尼治標準​​時間 (非洲/弗裏敦)"
"Greenwich Standard Time (Africa/Lome)","格林尼治標準​​時間 (非洲/洛美)"
"Greenwich Standard Time (Africa/Monrovia)","格林尼治標準​​時間 (非洲/蒙羅維亞)"
"Greenwich Standard Time (Africa/Nouakchott)","格林尼治標準​​時間 (非洲/努瓦克肖特)"
"Greenwich Standard Time (Africa/Ouagadougou)","格林尼治標準​​時間 (非洲/瓦加杜古)"
"Greenwich Standard Time (Africa/Sao_Tome)","格林尼治標準​​時間 (非洲/聖多美)"
"Greenwich Standard Time (Atlantic/Reykjavik)","格林尼治標準​​時間 (大西洋/雷克雅未克)"
"Greenwich Standard Time (Atlantic/St_Helena)","格林尼治標準​​時間 (大西洋/聖赫勒拿)"
"Hawaiian Standard Time (Etc/GMT+10)","夏威夷標準時間 (ETC/GMT+10)"，
"Hawaiian Standard Time (Pacific/Honolulu)","夏威夷標準時間 (太平洋/火奴魯魯)"
"Hawaiian Standard Time (Pacific/Johnston)","夏威夷標準時間 (太平洋/約翰斯頓)"
"Hawaiian Standard Time (Pacific/Rarotonga)","夏威夷標準時間 (太平洋/拉羅湯加島)"
"Hawaiian Standard Time (Pacific/Tahiti)","夏威夷標準時間 (太平洋/塔希提島)"
"India Standard Time (Asia/Calcutta)","印度標準時間 (亞洲/加爾各答)"
"Iran Standard Time (Asia/Tehran)","伊朗標準時間 (亞洲/德黑蘭)"
"Israel Standard Time (Asia/Jerusalem)","以色列標準時間 (亞洲/耶路撒冷)"
"Jordan Standard Time (Asia/Amman)","喬丹標準時間 (亞洲/安曼)"
"Kaliningrad Standard Time (Europe/Kaliningrad)","加裏寧格勒標準時間 (歐洲/加裏寧格勒)"
"Kaliningrad Standard Time (Europe/Minsk)","加裏寧格勒標準時間 (歐洲/明斯克)"
"Korea Standard Time (Asia/Pyongyang)","韓國標準時間 (亞洲/平壤)"
"Korea Standard Time (Asia/Seoul)","韓國標準時間 (亞洲/首爾)"
"Libya Standard Time (Africa/Tripoli)","利比亞標準時間 (非洲/的黎波裏)"
"Magadan Standard Time (Asia/Anadyr)","馬加丹標準時間 (亞洲/阿納德爾)"
"Magadan Standard Time (Asia/Kamchatka)","馬加丹標準時間 (亞洲/堪察加)"
"Magadan Standard Time (Asia/Magadan)","馬加丹標準時間 (亞洲/馬加丹)"
"Mauritius Standard Time (Indian/Mahe)","毛裏求斯標準時間 (印度/馬埃)"
"Mauritius Standard Time (Indian/Mauritius)","毛裏求斯標準時間 (印度/毛裏求斯)"
"Mauritius Standard Time (Indian/Reunion)","毛裏求斯標準時間 (印度/留尼汪)"
"Middle East Standard Time (Asia/Beirut)","中東標準時間 (亞洲/貝魯特)"
"Montevideo Standard Time (America/Montevideo)","蒙得維的亞標準時間 (美洲/蒙得維的亞)"
"Morocco Standard Time (Africa/Casablanca)","摩洛哥標準時間 (非洲/卡薩布蘭卡)"
"Morocco Standard Time (Africa/El_Aaiun)","摩洛哥標準時間 (非洲/阿尤恩)"
"Mountain Standard Time (America/Boise)","山地標準時間 (美洲/博伊西)"
"Mountain Standard Time (America/Cambridge_Bay)","山地標準時間 (美洲/劍橋灣)"
"Mountain Standard Time (America/Denver)","山地標準時間 (美洲/丹佛)"
"Mountain Standard Time (America/Edmonton)","山地標準時間 (美洲/埃德蒙頓)"
"Mountain Standard Time (America/Inuvik)","山地標準時間 (美洲/伊努維克)"
"Mountain Standard Time (America/Ojinaga)","山地標準時間 (美洲/奧希納加)"
"Mountain Standard Time (America/Shiprock)","山地標準時間 (美洲/希普羅克)"
"Mountain Standard Time (America/Yellowknife)","山地標準時間 (美洲/耶洛奈夫)"
"Mountain Standard Time (MST7MDT)","山地標準時間 (MST7MDT)"
"Mountain Standard Time (Mexico) (America/Chihuahua)","山地標準時間 (墨西哥) (美洲/奇瓦瓦)"
"Mountain Standard Time (Mexico) (America/Mazatlan)","山地標準時間 (墨西哥) (美洲/馬薩特蘭)"
"Myanmar Standard Time (Asia/Rangoon)","緬甸標準時間 (亞洲/仰光)"
"Myanmar Standard Time (Indian/Cocos)","緬甸標準時間 (印度/科科斯)"
"N. Central Asia Standard Time (Asia/Novokuznetsk)","中亞北部標準時間 (亞洲/新庫茲涅茨克)"
"N. Central Asia Standard Time (Asia/Novosibirsk)","中亞北部標準時間 (亞洲/新西伯利亞)"
"N. Central Asia Standard Time (Asia/Omsk)","中亞北部標準時間 (亞洲/鄂木斯克)"
"Namibia Standard Time (Africa/Windhoek)","納米比亞標準時間 (非洲/溫得和克)"
"Nepal Standard Time (Asia/Katmandu)","尼泊爾標準時間 (亞洲/加德滿都)"
"New Zealand Standard Time (Antarctica/McMurdo)","新西蘭標準時間 (南極洲/麥克默多)"
"New Zealand Standard Time (Antarctica/South_Pole)","新西蘭標準時間 (南極洲/南極)"
"New Zealand Standard Time (Pacific/Auckland)","新西蘭標準時間 (太平洋/奧克蘭)"
"Newfoundland Standard Time (America/St_Johns)","紐芬蘭標準時間 (美洲/聖約翰斯)"
"North Asia East Standard Time (Asia/Irkutsk)","北東亞標準時間 (亞洲/伊爾庫茨克)"
"North Asia Standard Time (Asia/Krasnoyarsk)","北亞標準時間 (亞洲/克拉斯諾亞爾斯克)"
"Pacific SA Standard Time (America/Santiago)","太平洋南美洲標準時間 (美洲/聖地亞哥)"
"Pacific SA Standard Time (Antarctica/Palmer)","太平洋南美洲標準時間 (南極洲/帕爾默地)"
"Pacific Standard Time (America/Dawson)","太平洋標準時間 (美洲/道森)"
"Pacific Standard Time (America/Los_Angeles)","太平洋標準時間 (美洲/洛杉磯)"
"Pacific Standard Time (America/Tijuana)","太平洋標準時間 (美洲/蒂華納)"
"Pacific Standard Time (America/Vancouver)","太平洋標準時間 (美洲/溫哥華)"
"Pacific Standard Time (America/Whitehorse)","太平洋標準時間 (美洲/白馬)"
"Pacific Standard Time (Mexico) (America/Santa_Isabel)","太平洋標準時間 (墨西哥) (美洲/聖伊薩貝爾)"
"Pacific Standard Time (PST8PDT)","太平洋標準時間 (PST8PDT)"
"Pakistan Standard Time (Asia/Karachi)","巴基斯坦標準時間 (亞洲/卡拉奇)"
"Paraguay Standard Time (America/Asuncion)","巴拉圭標準時間 (美洲/亞松森)"
"Romance Standard Time (Africa/Ceuta)","中歐標準時間 (非洲/休達)"
"Romance Standard Time (Europe/Brussels)","中歐標準時間 (歐洲/布魯塞爾)"
"Romance Standard Time (Europe/Copenhagen)","中歐標準時間 (歐洲/哥本哈根)"
"Romance Standard Time (Europe/Madrid)","中歐標準時間 (歐洲/馬德裏)"
"Romance Standard Time (Europe/Paris)","中歐標準時間 (歐洲/巴黎)"
"Russian Standard Time (Europe/Moscow)","俄羅斯標準時間 (歐洲/莫斯科)"
"Russian Standard Time (Europe/Samara)","俄羅斯標準時間 (歐洲/薩馬拉)"
"Russian Standard Time (Europe/Volgograd)","俄羅斯標準時間 (歐洲/伏爾加格勒)"
"SA Eastern Standard Time (America/Araguaina)","南美洲東部標準時間 (美洲/阿拉圭納)"
"SA Eastern Standard Time (America/Belem)","南美洲東部標準時間 (美洲/貝倫)"
"SA Eastern Standard Time (America/Cayenne)","南美洲東部標準時間 (美洲/卡宴)"
"SA Eastern Standard Time (America/Fortaleza)","南美洲東部標準時間 (美洲/福塔雷薩)"
"SA Eastern Standard Time (America/Maceio)","南美洲東部標準時間 (美洲/馬塞約)"
"SA Eastern Standard Time (America/Paramaribo)","南美洲東部標準時間 (美洲/帕拉馬裏博)"
"SA Eastern Standard Time (America/Recife)","南美洲東部標準時間 (美洲/累西腓)"
"SA Eastern Standard Time (America/Santarem)","南美洲東部標準時間 (美洲/聖塔倫)"
"SA Eastern Standard Time (Antarctica/Rothera)","南美洲東部標準時間 (南極洲/路德)"
"SA Eastern Standard Time (Atlantic/Stanley)","南美洲東部標準時間 (大西洋/斯坦利)"
"SA Eastern Standard Time (Etc/GMT+3)","南美洲東部標準時間 (ETC/GMT+3)"，
"SA Pacific Standard Time (America/Bogota)","南美洲太平洋標準時間 (美洲/波哥大)"
"SA Pacific Standard Time (America/Cayman)","南美洲太平洋標準時間 (美洲/開曼)"
"SA Pacific Standard Time (America/Coral_Harbour)","南美洲太平洋標準時間 (美洲/科勒爾港)"
"SA Pacific Standard Time (America/Eirunepe)","南美洲太平洋標準時間 (美洲/埃魯內佩)"
"SA Pacific Standard Time (America/Guayaquil)","南美洲太平洋標準時間 (美洲/瓜亞基爾)"
"SA Pacific Standard Time (America/Jamaica)","南美洲太平洋標準時間 (美洲/牙買加)"
"SA Pacific Standard Time (America/Lima)","南美洲太平洋標準時間 (美洲/利馬)"
"SA Pacific Standard Time (America/Panama)","南美洲太平洋標準時間 (美洲/巴拿馬)"
"SA Pacific Standard Time (America/Rio_Branco)","南美洲太平洋標準時間 (美洲/裏奧布朗庫)"
"SA Pacific Standard Time (Etc/GMT+5)","南美洲太平洋標準時間 (ETC/GMT+5)"，
"SA Western Standard Time (America/Anguilla)","南美洲西部標準時間 (美洲/安圭拉)"
"SA Western Standard Time (America/Antigua)","南美洲西部標準時間 (美洲/安提瓜)"
"SA Western Standard Time (America/Aruba)","南美洲西部標準時間 (美洲/阿魯巴島)"
"SA Western Standard Time (America/Barbados)","南美洲西部標準時間 (美洲/巴巴多斯)"
"SA Western Standard Time (America/Blanc-Sablon)","南美洲西部標準時間 (美洲/勃朗薩布隆)"
"SA Western Standard Time (America/Boa_Vista)","南美洲西部標準時間 (美洲/博阿維斯塔)"
"SA Western Standard Time (America/Curacao)","南美洲西部標準時間 (美洲/庫拉索)"
"SA Western Standard Time (America/Dominica)","南美洲西部標準時間 (美洲/多米尼加)"
"SA Western Standard Time (America/Grenada)","南美洲西部標準時間 (美洲/格林納達)"
"SA Western Standard Time (America/Guadeloupe)","南美洲西部標準時間 (美洲/瓜德羅普島)"
"SA Western Standard Time (America/Guyana)","南美洲西部標準時間 (美洲/圭亞那)"
"SA Western Standard Time (America/Kralendijk)","南美洲西部標準時間 (美洲/克拉倫代克)"
"SA Western Standard Time (America/La_Paz)","南美洲西部標準時間 (美洲/拉巴斯)"
"SA Western Standard Time (America/Lower_Princes)","南美洲西部標準時間 (美洲/庫拉索)"
"SA Western Standard Time (America/Manaus)","南美洲西部標準時間 (美洲/馬瑙斯)"
"SA Western Standard Time (America/Marigot)","南美洲西部標準時間 (美洲/馬裏戈)"
"SA Western Standard Time (America/Martinique)","南美洲西部標準時間 (美洲/馬提尼克島)"
"SA Western Standard Time (America/Montserrat)","南美洲西部標準時間 (美洲/蒙特塞拉特)"
"SA Western Standard Time (America/Port_of_Spain)","南美洲西部標準時間 (美洲/西班牙港)"
"SA Western Standard Time (America/Porto_Velho)","南美洲西部標準時間 (美洲/波多韋柳)"
"SA Western Standard Time (America/Puerto_Rico)","南美洲西部標準時間 (美洲/波多黎各)"
"SA Western Standard Time (America/Santo_Domingo)","南美洲西部標準時間 (美洲/聖多明各)"
"SA Western Standard Time (America/St_Barthelemy)","南美洲西部標準時間 (美洲/聖巴托洛繆島)"
"SA Western Standard Time (America/St_Kitts)","南美洲西部標準時間 (美洲/聖基茨)"
